Nseries	Time	Timestd	Acc	Accstd	F1	F1std	F1LO	F1LOstd
1	0.14386701583862305	0.006207068782659854	87.0	0.0	0.2809917355371901	0.0	0.2809917355371901	0.0
2	1.3903777837753295	0.03227591075728995	64.0	0.0	0.28888888888888886	0.0	0.20662761774853564	0.048682742679303
3	2.5676626682281496	0.15107665573281884	73.0	0.0	0.23157894736842102	2.7755575615628914e-17	0.27826777087646654	0.023895927478534265
4	1.8037368297576903	0.0847439240609317	63.0	0.0	0.33684210526315794	5.551115123125783e-17	0.28969222627460833	0.06496425233381094
5	5.118848896026611	0.44217725815200176	69.0	0.0	0.33009708737864074	5.551115123125783e-17	0.32576451037872767	0.023221884407333356
6	4.220359826087952	0.12105321668303705	68.0	0.0	0.31999999999999995	5.551115123125783e-17	0.3285721494926289	0.024964685675827908
7	5.557878637313843	0.3431702955299176	65.0	0.0	0.3564356435643564	0.0	0.3603357020845509	0.02867980389552363
8	5.519621205329895	0.3279824354986075	65.0	0.0	0.3564356435643564	0.0	0.3584241229552819	0.013302966500659505
9	5.147122001647949	0.4686281851891461	67.0	0.0	0.3619047619047619	0.0	0.3631425234144411	0.02154765415040715
10	5.7610763788223265	0.4909000486785673	58.0	0.0	0.42000000000000004	5.551115123125783e-17	0.4093921492989635	0.017954062356147965
11	6.010268020629883	0.6373895394461137	56.0	0.0	0.42857142857142855	0.0	0.4094967725104096	0.0281545621857586
12	5.217694330215454	0.39304740892425066	58.0	0.0	0.42000000000000004	5.551115123125783e-17	0.4331589103501779	0.015894843364697406
13	5.675779128074646	0.4959854850335238	54.0	0.0	0.4600000000000001	5.551115123125783e-17	0.4494662300371461	0.030574016552313024
14	4.773329734802246	0.17537211840634948	54.0	0.0	0.4600000000000001	5.551115123125783e-17	0.4543594026065147	0.02242776173080768
15	5.840507435798645	0.5531434272042958	57.0	0.0	0.4356435643564357	5.551115123125783e-17	0.43915633549939415	0.027997964349951082
16	10.061140394210815	2.430474159215533	55.0	0.0	0.4444444444444445	5.551115123125783e-17	0.4246002100776266	0.03200692765033079
17	11.172505378723145	1.2240949595011024	55.0	0.0	0.4444444444444445	5.551115123125783e-17	0.4455506922301102	0.02211391902539852
18	13.942029666900634	1.835570064089504	51.0	0.0	0.4742268041237113	0.0	0.43997447241464976	0.02454645302042089
19	20.72367603778839	3.186152775974294	51.0	0.0	0.4742268041237113	0.0	0.4663476974782947	0.00910755450357015
