Nseries	Time	Timestd	Acc	Accstd	F1	F1std	F1LO	F1LOstd
1	0.2688499212265015	0.03058279838732817	104.0	0.0	0.2972972972972973	0.0	0.2972972972972973	0.0
2	0.9692611694335938	0.0743243474689463	70.0	0.0	0.36363636363636365	0.0	0.25888615888615896	0.02514599275692394
3	1.777194356918335	0.4916798456223776	84.0	0.0	0.33333333333333337	5.551115123125783e-17	0.3463151247526823	0.019740376508404964
4	3.135116958618164	0.6873740035319048	74.0	0.0	0.4032258064516129	0.0	0.35051626032143385	0.02069059871638638
5	1.8520977020263671	0.38290915449100044	107.0	0.0	0.3435582822085889	5.551115123125783e-17	0.38485892139080236	0.0212792633966918
6	3.3698148012161253	0.4821167556422045	68.0	0.0	0.42372881355932196	5.551115123125783e-17	0.37471197595091615	0.042440521753496815
7	5.095220470428467	0.9231976404691009	68.0	0.0	0.4333333333333334	5.551115123125783e-17	0.41945896578543734	0.01861194569726963
8	4.3047034740448	1.0911447048228682	69.0	0.0	0.42016806722689076	0.0	0.4041361549824007	0.03470988844048654
9	4.008741688728333	0.9534839790933115	64.0	0.0	0.44827586206896547	5.551115123125783e-17	0.4196116719400126	0.0394014642499829
10	8.221638870239257	6.485780600855733	64.0	0.0	0.4385964912280701	5.551115123125783e-17	0.4236211942955637	0.02457606406068903
11	3.4898048400878907	0.1916771123295419	66.0	0.0	0.42105263157894735	0.0	0.40537785011457006	0.0446391268159231
12	3.43005256652832	0.12835854620341317	60.0	0.0	0.4545454545454545	5.551115123125783e-17	0.41815139147418173	0.03664086561444698
13	3.7395023345947265	0.36924736615465675	66.0	0.0	0.4406779661016949	0.0	0.4297663718233268	0.017428250762473566
14	2.201654648780823	0.5426011939708142	66.0	0.0	0.4406779661016949	0.0	0.4310088085557914	0.016371498651749094
15	3.3473211526870728	0.676146997040558	64.0	0.0	0.44827586206896547	5.551115123125783e-17	0.4406794755032874	0.02006077832642074
16	4.193008589744568	0.22147577954213754	65.0	0.0	0.43478260869565216	0.0	0.4466372929436025	0.009193514122150422
17	4.991291165351868	0.17101901330356883	61.0	0.0	0.46017699115044247	0.0	0.4408909218812216	0.021558747294169785
18	6.2384312629699705	0.5320413392945645	67.0	0.0	0.43697478991596644	5.551115123125783e-17	0.4355581489476381	0.015370488537587958
19	5.014543581008911	0.5978266349875819	62.0	0.0	0.44642857142857145	0.0	0.4300644609670772	0.03140015597593177
20	3.4188519954681396	0.28515027755607936	95.0	0.0	0.3790849673202614	0.0	0.42780371388898536	0.025965665671661246
21	5.177019429206848	0.30130537592218154	66.0	0.0	0.43103448275862066	0.0	0.4400359118423037	0.020096734131410974
22	4.868864560127259	0.2441375737060909	61.0	0.0	0.46017699115044247	0.0	0.4302247841016967	0.03257769253581111
23	2.374664235115051	0.07667969287956918	108.0	0.0	0.35714285714285715	0.0	0.41620885584917533	0.033135044472395535
24	6.3915568590164185	0.42889705292598157	69.0	0.0	0.42016806722689076	0.0	0.4219971517500758	0.02100557233802065
25	6.066027379035949	0.385702368905585	70.0	0.0	0.4067796610169491	5.551115123125783e-17	0.4174496979077678	0.025371131389807414
26	5.094101810455323	0.23279404209798557	91.0	0.0	0.38095238095238093	0.0	0.4328053905995774	0.020726041291448477
27	6.192914581298828	0.37662820927176754	68.0	0.0	0.4137931034482759	5.551115123125783e-17	0.43075742764030045	0.02262043198472212
28	6.899071478843689	0.55957440207283	62.0	0.0	0.44642857142857145	0.0	0.4337267811642205	0.022764047377934537
29	7.6562659502029415	0.44864791127656917	64.0	0.0	0.44827586206896547	5.551115123125783e-17	0.4245335521874532	0.016184844209850942
30	7.810594367980957	0.748729951882621	62.0	0.0	0.43636363636363634	0.0	0.4211445725392699	0.029321116905830013
31	6.444454622268677	0.5713197290453805	79.0	0.0	0.40601503759398494	0.0	0.4246326782906634	0.024535970786909764
32	11.00639762878418	2.2704655898813235	63.0	0.0	0.44247787610619477	5.551115123125783e-17	0.4271151018625008	0.02421571324143846
33	8.785569834709168	0.6085231992963094	60.0	0.0	0.4444444444444445	5.551115123125783e-17	0.444788435110077	0.026435057661837652
